season,week,celebrity_name,era,raw_score,judge_share,judge_rank,results,is_eliminated
2,2.0,Stacy Keibler,Rank,29.0,0.145,1.0,3rd Place,0
2,2.0,Tatum O'Neal,Rank,17.0,0.085,8.0,Eliminated Week 2,1
2,2.0,Tia Carrere,Rank,22.0,0.11,5.0,Eliminated Week 5,0
2,3.0,Drew Lachey,Rank,27.0,0.14835164835164835,1.0,1st Place,0
2,3.0,George Hamilton,Rank,22.0,0.12087912087912088,5.0,Eliminated Week 6,0
2,3.0,Giselle Fernandez,Rank,22.0,0.12087912087912088,5.0,Eliminated Week 3,1
2,3.0,Jerry Rice,Rank,19.0,0.1043956043956044,7.0,2nd Place,0
2,3.0,Lisa Rinna,Rank,25.0,0.13736263736263737,4.0,Eliminated Week 7,0
2,3.0,Master P,Rank,14.0,0.07692307692307693,8.0,Eliminated Week 4,0
2,3.0,Stacy Keibler,Rank,27.0,0.14835164835164835,1.0,3rd Place,0
2,3.0,Tia Carrere,Rank,26.0,0.14285714285714285,3.0,Eliminated Week 5,0
2,4.0,Drew Lachey,Rank,28.0,0.17721518987341772,1.0,1st Place,0
2,4.0,George Hamilton,Rank,21.0,0.13291139240506328,6.0,Eliminated Week 6,0
2,4.0,Jerry Rice,Rank,24.0,0.1518987341772152,5.0,2nd Place,0
2,4.0,Lisa Rinna,Rank,26.0,0.16455696202531644,2.0,Eliminated Week 7,0
2,4.0,Master P,Rank,8.0,0.05063291139240506,7.0,Eliminated Week 4,1
2,4.0,Stacy Keibler,Rank,26.0,0.16455696202531644,2.0,3rd Place,0
2,4.0,Tia Carrere,Rank,25.0,0.15822784810126583,4.0,Eliminated Week 5,0
2,5.0,Drew Lachey,Rank,27.0,0.17880794701986755,2.0,1st Place,0
2,5.0,George Hamilton,Rank,24.0,0.15894039735099338,4.0,Eliminated Week 6,0
2,5.0,Jerry Rice,Rank,23.0,0.152317880794702,5.0,2nd Place,0
2,5.0,Lisa Rinna,Rank,25.0,0.16556291390728478,3.0,Eliminated Week 7,0
2,5.0,Stacy Keibler,Rank,30.0,0.1986754966887417,1.0,3rd Place,0
2,5.0,Tia Carrere,Rank,22.0,0.1456953642384106,6.0,Eliminated Week 5,1
2,6.0,Drew Lachey,Rank,30.0,0.22556390977443608,1.0,1st Place,0
2,6.0,George Hamilton,Rank,23.0,0.17293233082706766,4.0,Eliminated Week 6,1
2,6.0,Jerry Rice,Rank,23.0,0.17293233082706766,4.0,2nd Place,0
2,6.0,Lisa Rinna,Rank,27.0,0.20300751879699247,3.0,Eliminated Week 7,0
2,6.0,Stacy Keibler,Rank,30.0,0.22556390977443608,1.0,3rd Place,0
2,7.0,Drew Lachey,Rank,27.5,0.2696078431372549,1.0,1st Place,0
2,7.0,Jerry Rice,Rank,20.5,0.20098039215686275,4.0,2nd Place,0
2,7.0,Lisa Rinna,Rank,26.5,0.25980392156862747,3.0,Eliminated Week 7,1
2,7.0,Stacy Keibler,Rank,27.5,0.2696078431372549,1.0,3rd Place,0
2,8.0,Drew Lachey,Rank,28.9998,0.34387291318097685,1.0,1st Place,0
2,8.0,Jerry Rice,Rank,26.666600000000003,0.31620636785880724,3.0,2nd Place,0
2,8.0,Stacy Keibler,Rank,28.6665,0.33992071896021603,2.0,3rd Place,0
3,1.0,Emmitt Smith,Percentage,24.0,0.1218274111675127,2.0,1st Place,0
3,1.0,Harry Hamlin,Percentage,17.0,0.08629441624365482,8.0,Eliminated Week 3,0
3,1.0,Jerry Springer,Percentage,16.0,0.08121827411167512,9.0,Eliminated Week 7,0
3,1.0,Joey Lawrence,Percentage,21.0,0.1065989847715736,5.0,3rd Place,0
3,1.0,Mario Lopez,Percentage,26.0,0.1319796954314721,1.0,2nd Place,0
3,1.0,Monique Coleman,Percentage,19.0,0.09644670050761421,6.0,Eliminated Week 8,0
3,1.0,Shanna Moakler,Percentage,18.0,0.09137055837563451,7.0,Eliminated Week 2,0
3,1.0,Tucker Carlson,Percentage,12.0,0.06091370558375635,10.0,Eliminated Week 1,1
3,1.0,Vivica A. Fox,Percentage,22.0,0.1116751269035533,3.0,Eliminated Week 4,0
3,1.0,Willa Ford,Percentage,22.0,0.1116751269035533,3.0,Eliminated Week 5,0
3,2.0,Emmitt Smith,Percentage,24.0,0.11483253588516747,3.0,1st Place,0
3,2.0,Harry Hamlin,Percentage,21.0,0.10047846889952153,7.0,Eliminated Week 3,0
3,2.0,Jerry Springer,Percentage,19.0,0.09090909090909091,9.0,Eliminated Week 7,0
3,2.0,Joey Lawrence,Percentage,29.0,0.13875598086124402,1.0,3rd Place,0
3,2.0,Mario Lopez,Percentage,21.0,0.10047846889952153,7.0,2nd Place,0
3,2.0,Monique Coleman,Percentage,26.0,0.12440191387559808,2.0,Eliminated Week 8,0
3,2.0,Shanna Moakler,Percentage,22.0,0.10526315789473684,6.0,Eliminated Week 2,1
3,2.0,Vivica A. Fox,Percentage,24.0,0.11483253588516747,3.0,Eliminated Week 4,0
3,2.0,Willa Ford,Percentage,23.0,0.11004784688995216,5.0,Eliminated Week 5,0
3,3.0,Emmitt Smith,Percentage,19.0,0.1043956043956044,8.0,1st Place,0
3,3.0,Harry Hamlin,Percentage,22.0,0.12087912087912088,3.0,Eliminated Week 3,1
3,3.0,Jerry Springer,Percentage,21.0,0.11538461538461539,7.0,Eliminated Week 7,0
3,3.0,Joey Lawrence,Percentage,22.0,0.12087912087912088,3.0,3rd Place,0
3,3.0,Mario Lopez,Percentage,22.0,0.12087912087912088,3.0,2nd Place,0
3,3.0,Monique Coleman,Percentage,27.0,0.14835164835164835,1.0,Eliminated Week 8,0
3,3.0,Vivica A. Fox,Percentage,27.0,0.14835164835164835,1.0,Eliminated Week 4,0
3,3.0,Willa Ford,Percentage,22.0,0.12087912087912088,3.0,Eliminated Week 5,0
3,4.0,Emmitt Smith,Percentage,24.0,0.1348314606741573,4.0,1st Place,0
3,4.0,Jerry Springer,Percentage,22.0,0.12359550561797752,7.0,Eliminated Week 7,0
3,4.0,Joey Lawrence,Percentage,27.0,0.15168539325842698,3.0,3rd Place,0
3,4.0,Mario Lopez,Percentage,29.0,0.16292134831460675,1.0,2nd Place,0
3,4.0,Monique Coleman,Percentage,24.0,0.1348314606741573,4.0,Eliminated Week 8,0
3,4.0,Vivica A. Fox,Percentage,24.0,0.1348314606741573,4.0,Eliminated Week 4,1
3,4.0,Willa Ford,Percentage,28.0,0.15730337078651685,2.0,Eliminated Week 5,0
3,5.0,Emmitt Smith,Percentage,27.0,0.17197452229299362,1.0,1st Place,0
3,5.0,Jerry Springer,Percentage,24.0,0.15286624203821655,6.0,Eliminated Week 7,0
3,5.0,Joey Lawrence,Percentage,25.0,0.1592356687898089,5.0,3rd Place,0
3,5.0,Mario Lopez,Percentage,27.0,0.17197452229299362,1.0,2nd Place,0
3,5.0,Monique Coleman,Percentage,27.0,0.17197452229299362,1.0,Eliminated Week 8,0
3,5.0,Willa Ford,Percentage,27.0,0.17197452229299362,1.0,Eliminated Week 5,1
3,6.0,Emmitt Smith,Percentage,25.0,0.211864406779661,2.0,1st Place,0
3,6.0,Jerry Springer,Percentage,18.0,0.15254237288135594,5.0,Eliminated Week 7,0
3,6.0,Joey Lawrence,Percentage,24.0,0.2033898305084746,3.0,3rd Place,0
3,6.0,Mario Lopez,Percentage,28.0,0.23728813559322035,1.0,2nd Place,0
3,6.0,Monique Coleman,Percentage,23.0,0.19491525423728814,4.0,Eliminated Week 8,0
3,7.0,Emmitt Smith,Percentage,28.5,0.2111111111111111,1.0,1st Place,0
3,7.0,Jerry Springer,Percentage,23.0,0.17037037037037037,5.0,Eliminated Week 7,1
3,7.0,Joey Lawrence,Percentage,28.5,0.2111111111111111,1.0,3rd Place,0
3,7.0,Mario Lopez,Percentage,28.0,0.2074074074074074,3.0,2nd Place,0
3,7.0,Monique Coleman,Percentage,27.0,0.2,4.0,Eliminated Week 8,0
3,8.0,Emmitt Smith,Percentage,27.0,0.24770642201834864,2.0,1st Place,0
3,8.0,Joey Lawrence,Percentage,27.0,0.24770642201834864,2.0,3rd Place,0
3,8.0,Mario Lopez,Percentage,28.5,0.26146788990825687,1.0,2nd Place,0
3,8.0,Monique Coleman,Percentage,26.5,0.24311926605504589,4.0,Eliminated Week 8,1
3,9.0,Emmitt Smith,Percentage,29.5,0.3333333333333333,1.0,1st Place,0
3,9.0,Joey Lawrence,Percentage,29.5,0.3333333333333333,1.0,3rd Place,0
3,9.0,Mario Lopez,Percentage,29.5,0.3333333333333333,1.0,2nd Place,0
3,10.0,Emmitt Smith,Percentage,29.666600000000003,0.5,1.0,1st Place,0
3,10.0,Mario Lopez,Percentage,29.666600000000003,0.5,1.0,2nd Place,0
4,1.0,Apolo Anton Ohno,Percentage,21.0,0.10194174757281553,3.0,1st Place,0
4,1.0,Billy Ray Cyrus,Percentage,13.0,0.06310679611650485,11.0,Eliminated Week 8,0
4,1.0,Clyde Drexler,Percentage,16.0,0.07766990291262135,9.0,Eliminated Week 5,0
4,1.0,Heather Mills,Percentage,18.0,0.08737864077669903,7.0,Eliminated Week 6,0
4,1.0,Ian Ziering,Percentage,21.0,0.10194174757281553,3.0,Eliminated Week 9,0
4,1.0,Joey Fatone,Percentage,24.0,0.11650485436893204,1.0,2nd Place,0
4,1.0,John Ratzenberger,Percentage,17.0,0.0825242718446602,8.0,Eliminated Week 7,0
4,1.0,Laila Ali,Percentage,23.0,0.11165048543689321,2.0,3rd Place,0
4,1.0,Leeza Gibbons,Percentage,15.0,0.07281553398058252,10.0,Eliminated Week 4,0
4,1.0,Paulina Porizkova,Percentage,19.0,0.09223300970873786,5.0,Eliminated Week 2,0
4,1.0,Shandi Finnessey,Percentage,19.0,0.09223300970873786,5.0,Eliminated Week 3,0
4,2.0,Apolo Anton Ohno,Percentage,26.0,0.10612244897959183,2.0,1st Place,0
4,2.0,Billy Ray Cyrus,Percentage,21.0,0.08571428571428572,6.0,Eliminated Week 8,0
4,2.0,Clyde Drexler,Percentage,18.0,0.07346938775510205,11.0,Eliminated Week 5,0
4,2.0,Heather Mills,Percentage,24.0,0.09795918367346938,3.0,Eliminated Week 6,0
4,2.0,Ian Ziering,Percentage,22.0,0.08979591836734693,5.0,Eliminated Week 9,0
4,2.0,Joey Fatone,Percentage,24.0,0.09795918367346938,3.0,2nd Place,0
4,2.0,John Ratzenberger,Percentage,21.0,0.08571428571428572,6.0,Eliminated Week 7,0
4,2.0,Laila Ali,Percentage,27.0,0.11020408163265306,1.0,3rd Place,0
4,2.0,Leeza Gibbons,Percentage,21.0,0.08571428571428572,6.0,Eliminated Week 4,0
4,2.0,Paulina Porizkova,Percentage,21.0,0.08571428571428572,6.0,Eliminated Week 2,1
4,2.0,Shandi Finnessey,Percentage,20.0,0.08163265306122448,10.0,Eliminated Week 3,0
4,3.0,Apolo Anton Ohno,Percentage,23.0,0.10550458715596331,5.0,1st Place,0
4,3.0,Billy Ray Cyrus,Percentage,21.0,0.0963302752293578,6.0,Eliminated Week 8,0
4,3.0,Clyde Drexler,Percentage,16.0,0.07339449541284404,10.0,Eliminated Week 5,0
4,3.0,Heather Mills,Percentage,24.0,0.11009174311926606,1.0,Eliminated Week 6,0
4,3.0,Ian Ziering,Percentage,24.0,0.11009174311926606,1.0,Eliminated Week 9,0
4,3.0,Joey Fatone,Percentage,24.0,0.11009174311926606,1.0,2nd Place,0
4,3.0,John Ratzenberger,Percentage,20.0,0.09174311926605505,9.0,Eliminated Week 7,0
4,3.0,Laila Ali,Percentage,21.0,0.0963302752293578,6.0,3rd Place,0
4,3.0,Leeza Gibbons,Percentage,24.0,0.11009174311926606,1.0,Eliminated Week 4,0
4,3.0,Shandi Finnessey,Percentage,21.0,0.0963302752293578,6.0,Eliminated Week 3,1
4,4.0,Apolo Anton Ohno,Percentage,26.0,0.1368421052631579,2.0,1st Place,0
4,4.0,Billy Ray Cyrus,Percentage,21.0,0.11052631578947368,5.0,Eliminated Week 8,0
4,4.0,Clyde Drexler,Percentage,15.0,0.07894736842105263,9.0,Eliminated Week 5,0
4,4.0,Heather Mills,Percentage,23.0,0.12105263157894737,4.0,Eliminated Week 6,0
4,4.0,Ian Ziering,Percentage,24.0,0.12631578947368421,3.0,Eliminated Week 9,0
4,4.0,Joey Fatone,Percentage,28.0,0.14736842105263157,1.0,2nd Place,0
4,4.0,John Ratzenberger,Percentage,16.0,0.08421052631578947,7.0,Eliminated Week 7,0
4,4.0,Laila Ali,Percentage,21.0,0.11052631578947368,5.0,3rd Place,0
4,4.0,Leeza Gibbons,Percentage,16.0,0.08421052631578947,7.0,Eliminated Week 4,1
4,5.0,Apolo Anton Ohno,Percentage,30.0,0.17045454545454544,1.0,1st Place,0
4,5.0,Billy Ray Cyrus,Percentage,17.0,0.09659090909090909,7.0,Eliminated Week 8,0
4,5.0,Clyde Drexler,Percentage,13.0,0.07386363636363637,8.0,Eliminated Week 5,1
4,5.0,Heather Mills,Percentage,21.0,0.11931818181818182,5.0,Eliminated Week 6,0
4,5.0,Ian Ziering,Percentage,24.0,0.13636363636363635,4.0,Eliminated Week 9,0
4,5.0,Joey Fatone,Percentage,25.0,0.14204545454545456,3.0,2nd Place,0
4,5.0,John Ratzenberger,Percentage,18.0,0.10227272727272728,6.0,Eliminated Week 7,0
4,5.0,Laila Ali,Percentage,28.0,0.1590909090909091,2.0,3rd Place,0
4,6.0,Apolo Anton Ohno,Percentage,28.0,0.16470588235294117,1.0,1st Place,0
4,6.0,Billy Ray Cyrus,Percentage,21.0,0.12352941176470589,6.0,Eliminated Week 8,0
4,6.0,Heather Mills,Percentage,23.0,0.13529411764705881,5.0,Eliminated Week 6,1
4,6.0,Ian Ziering,Percentage,24.0,0.1411764705882353,4.0,Eliminated Week 9,0
4,6.0,Joey Fatone,Percentage,27.0,0.1588235294117647,3.0,2nd Place,0
4,6.0,John Ratzenberger,Percentage,19.0,0.11176470588235295,7.0,Eliminated Week 7,0
4,6.0,Laila Ali,Percentage,28.0,0.16470588235294117,1.0,3rd Place,0
4,7.0,Apolo Anton Ohno,Percentage,27.0,0.17475728155339806,3.0,1st Place,0
4,7.0,Billy Ray Cyrus,Percentage,19.0,0.12297734627831715,6.0,Eliminated Week 8,0
4,7.0,Ian Ziering,Percentage,27.0,0.17475728155339806,3.0,Eliminated Week 9,0
4,7.0,Joey Fatone,Percentage,29.5,0.19093851132686085,1.0,2nd Place,0
4,7.0,John Ratzenberger,Percentage,22.5,0.14563106796116504,5.0,Eliminated Week 7,1
4,7.0,Laila Ali,Percentage,29.5,0.19093851132686085,1.0,3rd Place,0
4,8.0,Apolo Anton Ohno,Percentage,29.0,0.23107569721115537,1.0,1st Place,0
4,8.0,Billy Ray Cyrus,Percentage,19.0,0.15139442231075698,5.0,Eliminated Week 8,1
4,8.0,Ian Ziering,Percentage,23.5,0.18725099601593626,4.0,Eliminated Week 9,0
4,8.0,Joey Fatone,Percentage,27.5,0.21912350597609562,2.0,2nd Place,0
4,8.0,Laila Ali,Percentage,26.5,0.21115537848605578,3.0,3rd Place,0
4,9.0,Apolo Anton Ohno,Percentage,29.5,0.2489451476793249,3.0,1st Place,0
4,9.0,Ian Ziering,Percentage,29.0,0.24472573839662448,4.0,Eliminated Week 9,1
4,9.0,Joey Fatone,Percentage,30.0,0.25316455696202533,1.0,2nd Place,0
4,9.0,Laila Ali,Percentage,30.0,0.25316455696202533,1.0,3rd Place,0
4,10.0,Apolo Anton Ohno,Percentage,29.3332,0.3397685007685367,1.0,1st Place,0
4,10.0,Joey Fatone,Percentage,28.6665,0.33204606818489824,2.0,2nd Place,0
4,10.0,Laila Ali,Percentage,28.3332,0.3281854310465651,3.0,3rd Place,0
5,1.0,Albert Reed,Percentage,21.0,0.08171206225680934,5.0,Eliminated Week 2,0
5,1.0,Cameron Mathison,Percentage,21.0,0.08171206225680934,5.0,Eliminated Week 8,0
5,1.0,Floyd Mayweather Jr. ,Percentage,18.0,0.07003891050583658,11.0,Eliminated Week 4,0
5,1.0,Helio Castroneves,Percentage,25.0,0.09727626459143969,2.0,1st Place,0
5,1.0,Jane Seymour,Percentage,24.0,0.0933852140077821,3.0,Eliminated Week 7,0
5,1.0,Jennie Garth,Percentage,21.0,0.08171206225680934,5.0,Eliminated Week 9,0
5,1.0,Josie Maran,Percentage,16.0,0.0622568093385214,12.0,Eliminated Week 1,1
5,1.0,Marie Osmond,Percentage,21.0,0.08171206225680934,5.0,3rd Place,0
5,1.0,Mark Cuban,Percentage,21.0,0.08171206225680934,5.0,Eliminated Week 5,0
5,1.0,Mel B,Percentage,24.0,0.0933852140077821,3.0,2nd Place,0
5,1.0,Sabrina Bryan,Percentage,26.0,0.10116731517509728,1.0,Eliminated Week 6,0
5,1.0,Wayne Newton,Percentage,19.0,0.07392996108949416,10.0,Eliminated Week 3,0
5,2.0,Albert Reed,Percentage,21.0,0.08823529411764706,5.0,Eliminated Week 2,1
5,2.0,Cameron Mathison,Percentage,21.0,0.08823529411764706,5.0,Eliminated Week 8,0
5,2.0,Floyd Mayweather Jr. ,Percentage,21.0,0.08823529411764706,5.0,Eliminated Week 4,0
5,2.0,Helio Castroneves,Percentage,27.0,0.1134453781512605,1.0,1st Place,0
5,2.0,Jane Seymour,Percentage,21.0,0.08823529411764706,5.0,Eliminated Week 7,0
5,2.0,Jennie Garth,Percentage,21.0,0.08823529411764706,5.0,Eliminated Week 9,0
5,2.0,Marie Osmond,Percentage,24.0,0.10084033613445378,3.0,3rd Place,0
5,2.0,Mark Cuban,Percentage,18.0,0.07563025210084033,10.0,Eliminated Week 5,0
5,2.0,Mel B,Percentage,23.0,0.09663865546218488,4.0,2nd Place,0
5,2.0,Sabrina Bryan,Percentage,26.0,0.1092436974789916,2.0,Eliminated Week 6,0
5,2.0,Wayne Newton,Percentage,15.0,0.06302521008403361,11.0,Eliminated Week 3,0
5,3.0,Cameron Mathison,Percentage,23.0,0.09623430962343096,7.0,Eliminated Week 8,0
5,3.0,Floyd Mayweather Jr. ,Percentage,21.0,0.08786610878661087,8.0,Eliminated Week 4,0
5,3.0,Helio Castroneves,Percentage,24.0,0.100418410041841,6.0,1st Place,0
5,3.0,Jane Seymour,Percentage,27.0,0.11297071129707113,1.0,Eliminated Week 7,0
5,3.0,Jennie Garth,Percentage,26.0,0.1087866108786611,4.0,Eliminated Week 9,0
5,3.0,Marie Osmond,Percentage,26.0,0.1087866108786611,4.0,3rd Place,0
5,3.0,Mark Cuban,Percentage,20.0,0.08368200836820083,9.0,Eliminated Week 5,0
5,3.0,Mel B,Percentage,27.0,0.11297071129707113,1.0,2nd Place,0
5,3.0,Sabrina Bryan,Percentage,27.0,0.11297071129707113,1.0,Eliminated Week 6,0
5,3.0,Wayne Newton,Percentage,18.0,0.07531380753138076,10.0,Eliminated Week 3,1
5,4.0,Cameron Mathison,Percentage,27.0,0.11538461538461539,2.0,Eliminated Week 8,0
5,4.0,Floyd Mayweather Jr. ,Percentage,23.0,0.09829059829059829,8.0,Eliminated Week 4,1
5,4.0,Helio Castroneves,Percentage,27.0,0.11538461538461539,2.0,1st Place,0
5,4.0,Jane Seymour,Percentage,26.0,0.1111111111111111,5.0,Eliminated Week 7,0
5,4.0,Jennie Garth,Percentage,27.0,0.11538461538461539,2.0,Eliminated Week 9,0
5,4.0,Marie Osmond,Percentage,26.0,0.1111111111111111,5.0,3rd Place,0
5,4.0,Mark Cuban,Percentage,22.0,0.09401709401709402,9.0,Eliminated Week 5,0
5,4.0,Mel B,Percentage,26.0,0.1111111111111111,5.0,2nd Place,0
5,4.0,Sabrina Bryan,Percentage,30.0,0.1282051282051282,1.0,Eliminated Week 6,0
5,5.0,Cameron Mathison,Percentage,26.0,0.1306532663316583,3.0,Eliminated Week 8,0
5,5.0,Helio Castroneves,Percentage,23.0,0.11557788944723618,6.0,1st Place,0
5,5.0,Jane Seymour,Percentage,26.0,0.1306532663316583,3.0,Eliminated Week 7,0
5,5.0,Jennie Garth,Percentage,25.0,0.12562814070351758,5.0,Eliminated Week 9,0
5,5.0,Marie Osmond,Percentage,21.0,0.10552763819095477,7.0,3rd Place,0
5,5.0,Mark Cuban,Percentage,21.0,0.10552763819095477,7.0,Eliminated Week 5,1
5,5.0,Mel B,Percentage,29.0,0.1457286432160804,1.0,2nd Place,0
5,5.0,Sabrina Bryan,Percentage,28.0,0.1407035175879397,2.0,Eliminated Week 6,0
5,6.0,Cameron Mathison,Percentage,25.0,0.1388888888888889,4.0,Eliminated Week 8,0
5,6.0,Helio Castroneves,Percentage,28.0,0.15555555555555556,2.0,1st Place,0
5,6.0,Jane Seymour,Percentage,22.0,0.12222222222222222,7.0,Eliminated Week 7,0
5,6.0,Jennie Garth,Percentage,27.0,0.15,3.0,Eliminated Week 9,0
5,6.0,Marie Osmond,Percentage,23.0,0.12777777777777777,6.0,3rd Place,0
5,6.0,Mel B,Percentage,30.0,0.16666666666666666,1.0,2nd Place,0
5,6.0,Sabrina Bryan,Percentage,25.0,0.1388888888888889,4.0,Eliminated Week 6,1
5,7.0,Cameron Mathison,Percentage,25.5,0.16346153846153846,5.0,Eliminated Week 8,0
5,7.0,Helio Castroneves,Percentage,26.0,0.16666666666666666,3.0,1st Place,0
5,7.0,Jane Seymour,Percentage,25.0,0.16025641025641027,6.0,Eliminated Week 7,1
5,7.0,Jennie Garth,Percentage,26.5,0.16987179487179488,2.0,Eliminated Week 9,0
5,7.0,Marie Osmond,Percentage,26.0,0.16666666666666666,3.0,3rd Place,0
5,7.0,Mel B,Percentage,27.0,0.17307692307692307,1.0,2nd Place,0
5,8.0,Cameron Mathison,Percentage,25.5,0.19391634980988592,3.0,Eliminated Week 8,1
5,8.0,Helio Castroneves,Percentage,28.5,0.21673003802281368,1.0,1st Place,0
5,8.0,Jennie Garth,Percentage,25.0,0.19011406844106463,4.0,Eliminated Week 9,0
5,8.0,Marie Osmond,Percentage,24.5,0.18631178707224336,5.0,3rd Place,0
5,8.0,Mel B,Percentage,28.0,0.21292775665399238,2.0,2nd Place,0
5,9.0,Helio Castroneves,Percentage,30.0,0.2564102564102564,1.0,1st Place,0
5,9.0,Jennie Garth,Percentage,29.0,0.24786324786324787,3.0,Eliminated Week 9,1
5,9.0,Marie Osmond,Percentage,28.0,0.23931623931623933,4.0,3rd Place,0
5,9.0,Mel B,Percentage,30.0,0.2564102564102564,1.0,2nd Place,0
5,10.0,Helio Castroneves,Percentage,27.9999,0.35294095402801606,2.0,1st Place,0
5,10.0,Marie Osmond,Percentage,23.0,0.2899168190830813,3.0,3rd Place,0
5,10.0,Mel B,Percentage,28.333199999999998,0.35714222688890257,1.0,2nd Place,0
6,1.0,Adam Carolla,Percentage,15.0,0.06172839506172839,11.0,Eliminated Week 4,0
6,1.0,Cristian de la Fuente,Percentage,21.0,0.08641975308641975,6.0,3rd Place,0
6,1.0,Jason Taylor,Percentage,22.0,0.09053497942386832,4.0,2nd Place,0
6,1.0,Kristi Yamaguchi,Percentage,27.0,0.1111111111111111,1.0,1st Place,0
6,1.0,Mario,Percentage,24.0,0.09876543209876543,2.0,Eliminated Week 8,0
6,1.0,Marissa Jaret Winokur,Percentage,18.0,0.07407407407407407,8.0,Eliminated Week 9,0
6,1.0,Marlee Matlin,Percentage,22.0,0.09053497942386832,4.0,Eliminated Week 6,0
6,1.0,Monica Seles,Percentage,15.0,0.06172839506172839,11.0,Eliminated Week 2,0
6,1.0,Penn Jillette,Percentage,16.0,0.06584362139917696,10.0,Eliminated Week 2,0
6,1.0,Priscilla Presley,Percentage,24.0,0.09876543209876543,2.0,Eliminated Week 5,0
6,1.0,Shannon Elizabeth,Percentage,21.0,0.08641975308641975,6.0,Eliminated Week 7,0
6,1.0,Steve Guttenberg,Percentage,18.0,0.07407407407407407,8.0,Eliminated Week 3,0
6,2.0,Adam Carolla,Percentage,19.0,0.07392996108949416,9.0,Eliminated Week 4,0
6,2.0,Cristian de la Fuente,Percentage,20.0,0.07782101167315175,8.0,3rd Place,0
6,2.0,Jason Taylor,Percentage,27.0,0.10505836575875487,1.0,2nd Place,0
